"","Pathway total","Hits.total","Hits.sig","Expected","P(Fisher)","P(EASE)","P(Gamma)","Emp.Hits","Empirical","AdjP.Fisher","AdjP.EASE","AdjP.Gamma","Pathway Number","cpd.hits"
"Carnitine shuttle","72","39","33","28.14","6.1697e-06","2.2265e-05","0.0067644","0","0","0.0006724973","0.002426885","0.7373196","P1","EC0002105;EC0002098;EC0002099;EC0002100;EC0002102;EC0002065;EC0002066;EC0001829;EC0002090;EC0002104;EC00020;EC0002068;EC0002069;EC0002070;EC0001062;EC0001063;EC0001064;EC0001020;EC00016;EC0002091;EC0002083;EC0002106;EC0002107;EC0002108;EC0002081;EC0002080;EC000344;EC00019;EC0002054;EC0002052;EC0002053;EC0002112;EC0002113;EC0002114;EC0002115;EC0002101;EC0002056;EC0002057;EC0002058;EC0002073;EC0002074;EC0002075"
"Fructose and mannose metabolism","33","29","26","21.365","0.033981","0.06511","0.0074762","0","0","1","1","0.8074296","P2","EC000387;EC000388;EC000236;EC000104;EC000105;EC000106;EC000107;EC000750;EC000751;EC00039;EC000141;EC000142;EC00038;EC000825;EC000664;EC000666;EC0001868;EC000119;EC0001059;EC0001060;EC0001061;EC0001861;EC0001863;EC0001864;EC0001865;EC0001866"
"Beta-Alanine metabolism","20","13","11","12.507","0.051754","0.11166","0.00788","100","1","1","1","0.84316","P3","EC00034;EC00035;EC000418;EC000420;EC000368;EC000369;EC000371;EC00044;EC000173;EC000175;EC00036;EC000343;EC000547;EC000236;EC00052;EC00033"
"Arachidonic acid metabolism","95","60","50","30.745","0.053119","0.087267","0.007912","0","0","1","1","0.84316","P4","EC00034;EC00035;EC00028;EC0001622;EC0001623;EC000731;EC000732;EC000733;EC000452;EC000453;EC000454;EC000604;EC000605;EC000606;EC0001206;EC0001207;EC0001208;EC0001209;EC00024;EC0001834;EC0002078;EC0001496;EC0001497;EC0001792;EC0001793;EC000701;EC000702;EC000703;EC0001433;EC0001434;EC000166;EC0002077;EC000261;EC000262;EC000263"
"Squalene and cholesterol biosynthesis","55","33","24","18.239","0.05578","0.10495","0.0079747","0","0","1","1","0.84316","P5","EC000374;EC000375;EC000576;EC0007;EC0008;EC000238;EC000780;EC000781;EC0001234;EC0001231;EC0001232;EC000446;EC000447;EC0001098;EC000795;EC000796;EC00024;EC000134;EC000136;EC000137;EC000138;EC000139"
"Glutathione Metabolism","19","10","8","13.549","0.057191","0.1179","0.0080081","100","1","1","1","0.84316","P6","EC000934;EC000936;EC000937;EC00034;EC00035;EC000166;EC0001129;EC0001130;EC0001131;EC00044;EC0001702;EC000621;EC000622;EC000623;EC000121;EC000122;EC000123"
"Valine, leucine and isoleucine degradation","65","26","23","27.097","0.061769","0.10288","0.0081178","95","0.95","1","1","0.84316","P7","EC00034;EC00035;EC00080;EC00036;EC00028;EC000134;EC000136;EC000137;EC000138;EC000139;EC000179;EC000181;EC000164;EC000165;EC000233;EC00024;EC00047;EC000742;EC000268;EC000269;EC000270;EC000744;EC0001922;EC0001923;EC000285;EC000286;EC000287;EC000368;EC000369;EC000371;EC0002007"
"Fatty acid activation","74","26","18","21.365","0.065908","0.11577","0.0082183","0","0","1","1","0.84316","P8","EC0001908;EC00028;EC0002067;EC0002071;EC000636;EC000635;EC0001020;EC00024;EC0001829;EC0001496;EC0001497;EC0001494;EC0001491;EC0001492;EC000282;EC000288;EC000289;EC000890;EC000891;EC000892;EC000893;EC000876;EC000878;EC0001078;EC0001079"
"Vitamin A (retinol) metabolism","67","46","36","19.802","0.083584","0.14482","0.0086626","0","0","1","1","0.8749226","P9","EC0001649;EC0001650;EC0001975;EC000406;EC000407;EC0001918;EC000649;EC000650;EC000952;EC000953;EC0001894;EC0001740;EC0001741;EC000496;EC000495;EC00028;EC00023;EC0001558;EC0001206;EC0001207;EC0001208;EC0001209;EC0001976"
"Phosphatidylinositol phosphate metabolism","59","31","22","23.971","0.096398","0.15618","0.0090008","0","0","1","1","0.90008","P10","EC00039;EC000856;EC000858;EC00023;EC000818;EC000819;EC0001162;EC0001164;EC000387;EC000388;EC0002096;EC00061;EC00062;EC00063;EC000833;EC000835;EC000104;EC000105;EC000106;EC000107;EC000243;EC00038;EC000109;EC000288;EC000289;EC0001661;EC0001663"
"Glutamate metabolism","15","13","11","17.196","0.10175","0.17737","0.0091464","100","1","1","1","0.9054936","P11","EC00034;EC00035;EC00036;EC000166;EC00044;EC00033;EC000368;EC000369;EC000371;EC00073;EC00047;EC0001109;EC000621;EC000622;EC000623;EC000134;EC000136;EC000137;EC000138;EC000139"
"Butanoate metabolism","34","23","21","27.097","0.10416","0.16254","0.0092125","100","1","1","1","0.9054936","P12","EC00034;EC00035;EC00036;EC00028;EC00033;EC00080;EC000134;EC000136;EC000137;EC000138;EC000139;EC0001317;EC0001471;EC0001472;EC0001473;EC000233;EC0001070;EC0001071;EC000742;EC000744;EC0001451;EC00024;EC000368;EC000369;EC000371;EC0001040;EC0001043;EC000282;EC00047;EC000695"
"Selenoamino acid metabolism","35","16","14","18.239","0.10601","0.18083","0.0092638","0","0","1","1","0.9054936","P13","EC00028;EC0001381;EC00076;EC00077;EC000134;EC000136;EC000137;EC000138;EC000139;EC000593;EC00025;EC000253;EC000254;EC000256;EC0001382;EC0001384;EC0001386;EC000782;EC000306;EC000307;EC00044"
"Glycolysis and Gluconeogenesis","49","38","33","28.14","0.10645","0.16434","0.009276","94","0.94","1","1","0.9054936","P14","EC00080;EC000197;EC00042;EC000695;EC000387;EC000388;EC000104;EC000105;EC000106;EC000107;EC00033;EC000560;EC00028;EC000274;EC000141;EC000142;EC00038;EC00039;EC00086;EC000244;EC000791;EC000792;EC000793;EC000267;EC000285;EC000286;EC000287;EC000236;EC0001448;EC0001449;EC0001450"
"Aspartate and asparagine metabolism","114","73","57","70.87","0.14132","0.18176","0.010303","100","1","1","1","0.978785","P15","EC00034;EC00035;EC00036;EC00028;EC000193;EC000462;EC000587;EC000588;EC0001764;EC000459;EC000461;EC000134;EC000136;EC000137;EC000138;EC000139;EC0001401;EC0001402;EC00024;EC000200;EC000201;EC000758;EC000828;EC000830;EC0001083;EC000936;EC000934;EC000937;EC0001776;EC0001777;EC0001129;EC0001130;EC0001131;EC000343;EC000547;EC000121;EC000122;EC000123;EC00091;EC000713;EC000368;EC000369;EC000371;EC00052;EC0001429;EC000438;EC000439;EC00069;EC00073;EC000621;EC000622;EC000623;EC000742;EC000744;EC000775;EC0001094;EC0001095;EC0001096;EC0001097;EC000166;EC000354;EC000355;EC0001958;EC0001057;EC000767;EC000768;EC0001432;EC000784;EC000785;EC00042;EC000172;EC00050"
